,total_enrollment,total_price,year,for_profit,private,public,net_cost_0_to_30,net_cost_30_to_48,net_cost_48_to_75,net_cost_75_to_110,net_cost_over_110,state_code,off_campus,on_campus,two_year,four_year,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,asian_enrollment,white_enrollment,black_enrollment,american_indian_alaska_native_enrollment,hispanic_enrollment
8646,732.0,40296,2017,0.0,1.0,0.0,20551.0,21995.0,25198.0,29609.0,27536.0,30,0.0,1.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
8647,732.0,40928,2018,0.0,1.0,0.0,21110.98109,22594.32772,25884.60423,30415.79675,28286.3109,30,1.0,0.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
8648,732.0,39868,2017,0.0,1.0,0.0,20551.0,21995.0,25198.0,29609.0,27536.0,30,1.0,0.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
8649,732.0,39868,2016,0.0,1.0,0.0,20551.0,21995.0,25198.0,29609.0,27536.0,30,1.0,0.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
8650,732.0,40296,2016,0.0,1.0,0.0,20551.0,21995.0,25198.0,29609.0,27536.0,30,0.0,1.0,0.0,1.0,9150.0,26116,35266,26116,35266,9.0,293.0,147.0,2.0,81.0
8651,25954.0,20364,2017,0.0,0.0,1.0,10500.71848,11294.68278,12948.51762,15019.41542,15431.32946,49,1.0,0.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8652,25954.0,19775,2016,0.0,0.0,1.0,10197.0,10968.0,12574.0,14585.0,14985.0,49,0.0,1.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8653,25954.0,20511,2018,0.0,0.0,1.0,10576.51919,11376.21482,13041.98807,15127.83489,15542.72238,49,1.0,0.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8654,25954.0,20511,2018,0.0,0.0,1.0,10576.51919,11376.21482,13041.98807,15127.83489,15542.72238,49,0.0,1.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8655,25954.0,20364,2017,0.0,0.0,1.0,10500.71848,11294.68278,12948.51762,15019.41542,15431.32946,49,0.0,1.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8656,25954.0,19775,2016,0.0,0.0,1.0,10197.0,10968.0,12574.0,14585.0,14985.0,49,1.0,0.0,0.0,1.0,6279.0,5831,12110,16585,22864,317.0,12902.0,320.0,95.0,2430.0
8657,16769.0,44920,2016,0.0,1.0,0.0,18590.0,19927.0,21019.0,24301.0,28960.0,31,1.0,0.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8658,16769.0,45762,2018,0.0,1.0,0.0,19310.74545,20699.58174,21833.91924,25243.16434,30082.79657,31,0.0,1.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8659,16769.0,44054,2016,0.0,1.0,0.0,18590.0,19927.0,21019.0,24301.0,28960.0,31,0.0,1.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8660,16769.0,45928,2017,0.0,1.0,0.0,18973.15976,20337.71676,21452.22404,24801.86957,29556.89654,31,1.0,0.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8661,16769.0,44962,2017,0.0,1.0,0.0,18973.15976,20337.71676,21452.22404,24801.86957,29556.89654,31,0.0,1.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8662,16769.0,46728,2018,0.0,1.0,0.0,19310.74545,20699.58174,21833.91924,25243.16434,30082.79657,31,1.0,0.0,0.0,1.0,11050.0,27900,38950,27900,38950,423.0,7166.0,6217.0,75.0,1159.0
8663,329.0,31930,2016,0.0,1.0,0.0,17597.0,21647.0,19572.0,24530.0,28680.0,22,0.0,1.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8664,329.0,34134,2017,0.0,1.0,0.0,18634.19242,22922.90523,20725.60175,25975.83339,30370.44034,22,1.0,0.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8665,329.0,32994,2016,0.0,1.0,0.0,17597.0,21647.0,19572.0,24530.0,28680.0,22,1.0,0.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8666,329.0,33812,2017,0.0,1.0,0.0,18634.19242,22922.90523,20725.60175,25975.83339,30370.44034,22,0.0,1.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8667,329.0,34812,2018,0.0,1.0,0.0,19137.90861,23542.55315,21285.85255,26678.00752,31191.408710000003,22,1.0,0.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8668,329.0,34726,2018,0.0,1.0,0.0,19137.90861,23542.55315,21285.85255,26678.00752,31191.408710000003,22,0.0,1.0,0.0,1.0,7704.0,19012,26716,19012,26716,2.0,264.0,30.0,1.0,9.0
8669,2323.0,57582,2018,0.0,1.0,0.0,8985.522845,10895.65837,13307.42352,24183.36719,47626.337810000005,23,1.0,0.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8670,2323.0,69034,2017,0.0,1.0,0.0,8585.558256999999,10410.66962,12715.08201,23106.91447,45506.38899,23,0.0,1.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8671,2323.0,65966,2016,0.0,1.0,0.0,8204.0,9948.0,12150.0,22080.0,43484.0,23,0.0,1.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8672,2323.0,72250,2018,0.0,1.0,0.0,8985.522845,10895.65837,13307.42352,24183.36719,47626.337810000005,23,0.0,1.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8673,2323.0,52652,2016,0.0,1.0,0.0,8204.0,9948.0,12150.0,22080.0,43484.0,23,1.0,0.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8674,2323.0,54998,2017,0.0,1.0,0.0,8585.558256999999,10410.66962,12715.08201,23106.91447,45506.38899,23,1.0,0.0,0.0,1.0,16468.0,53732,70200,53732,70200,538.0,932.0,128.0,1.0,205.0
8675,550.0,53740,2016,0.0,1.0,0.0,17634.0,18407.0,20894.0,24327.0,28808.0,6,0.0,1.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
8676,550.0,55180,2017,0.0,1.0,0.0,18106.51507,18900.22814,21453.869,24978.85858,29579.93003,6,0.0,1.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
8677,550.0,56650,2018,0.0,1.0,0.0,18588.87421,19403.73186,22025.40194,25644.29754,30367.94194,6,0.0,1.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
8678,550.0,54880,2016,0.0,1.0,0.0,17634.0,18407.0,20894.0,24327.0,28808.0,6,1.0,0.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
8679,550.0,55950,2017,0.0,1.0,0.0,18106.51507,18900.22814,21453.869,24978.85858,29579.93003,6,1.0,0.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
8680,550.0,57050,2018,0.0,1.0,0.0,18588.87421,19403.73186,22025.40194,25644.29754,30367.94194,6,1.0,0.0,0.0,1.0,14100.0,40700,54800,40700,54800,11.0,368.0,68.0,4.0,49.0
